"","Country","Region","Market","Rate","Date","Open","High","Low","Close","Currency"
"","Nigeria","Zamfara","Kaura Namoda","exchange_rate_unofficial","2023-05-01","463.68","466.94","460.41","460.71","NGN"
"","Nigeria","Abia","Aba","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Gombi","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Jimeta Grain","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Madagali","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Michika","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Mubi","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Mubi North","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Adamawa","Ngalang","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Abba Gamaram","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Baga Road","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Bama","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Banki","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Biu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Bolori Stores","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Budum","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Bullunkutu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Custom","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Damassack (CBM)","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Damboa","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Dikwa Central","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Gajiram","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Gamboru","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Gwoza Central","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Kashuwan Shanu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Konduga","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Kusawam Shanu","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Mafa","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Magumeri Central","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Maiduguri","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Monday","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
"","Nigeria","Borno","Monguno","exchange_rate_unofficial","2023-06-01","461.42","615.78","458.18","615.78","NGN"
